Usr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SuperAdmin | admin@campuserp.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Student | student27@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student27@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student28@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student28@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student28@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student29@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student29@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student29@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student3@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student3@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student3@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student30@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student30@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student30@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student4@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student4@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student4@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student5@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student5@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student5@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student6@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student6@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student6@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student7@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student7@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student7@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student8@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student8@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student8@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student9@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student9@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student9@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | ahmedsamer67884@gmail.comD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Parent | parent@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Parent | parent1@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent1@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent1@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent1@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent10@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent10@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent10@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent10@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent11@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent11@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent11@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent11@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent12@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent12@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent12@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent12@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent13@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent13@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent13@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent13@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent14@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent14@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent14@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent14@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent15@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent15@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Parent | parent15@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent15@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent16@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent17@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent18@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent19@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent2@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent2@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent2@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent2@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent20@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent21@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent22@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent23@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent24@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent25@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent26@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent27@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent28@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent29@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent3@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent3@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent3@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent3@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent30@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent31@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent32@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent33@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent34@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent35@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent36@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent37@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent38@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent39@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent4@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent4@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent4@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent4@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent40@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent41@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent42@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent43@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent44@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent45@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent46@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent47@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent48@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent49@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent5@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent5@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent5@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent5@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent50@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent51@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent52@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent53@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent54@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent55@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent56@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent57@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent58@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent59@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent6@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent6@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent6@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent6@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent60@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent61@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent62@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent63@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent64@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent65@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent66@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent67@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent68@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent69@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent7@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent7@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent7@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent7@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent70@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent71@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent72@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent73@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent74@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent75@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent76@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent77@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent78@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent79@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent8@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent8@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent8@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent8@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Parent | parent80@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Parent | parent9@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Parent | parent9@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Parent | parent9@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Parent | parent9@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  

(263 rows affected)
